A	განუსაზღვრელი არტიკლი,
overtax	დამძიმება, დატვირთვა, დაძაბვა
overthrow(overthrew,	overthrown) გადაბრუნება, დაპირქვავება; ჩამოგდება, დამხობა
overtime	საზეგანაკვეთო
overture	მოლაპარაკების დაწყება; ოფიციალური წინადადება; უვერტიურა, შესავალი
overturn	გადაყირავება, ჩამოგდება, დამხობა
overhelm	ჩაქრობა; მორევნა, დამარცხება
owe	მოვალეობა, ვალდებულება, ვალის ქონა
owing	გამო, მიზეზით
owl	ბუ
own	საკუთარი; მშობლიური; თავისი; ფლობა; გამოტყდომა,აღიარება
owner	მესაკუთრე, მფლობელი
ownership	საკუთრება
ox	ხარი
Oxford	ოქსფორდი
oxide	ჟანგი
oxygen	ჟანგბადი
oyster	ხამანწკა
pace	ნაბიჯი; ბიჯება, გადაბიჯება
pacific	წყნარი, მშციდი, მშვიდობიანი
pacify	დამშვიდება, შერიგება, დაზავება
pack	ფუთა, ბარდანა, ცალი; შეფუთვა, შეკვრა
package	ფუთა, ამანათი
packet	პაკეტი, ფუთა
pact	პაქტი, ხელშეკრულება
pad	შუასადები, ბლოკნოტი
paddle	ნიჩაბი, ხოფი; ნიჩბის, ხოფის მოსმა
padlock	ბოქლომი, ბოქლომით დაკეტვა
page	გვერდი
pail	ხის ვედრო
pain	ტკივილი; შეწუხება, ტანჯვა
painful	მტკივნეული
painless	უმკივნეულო
painstaking	გულმოდგინე, ერთგული, ბეჯითი
paint	სათებავი; ღებვა
painted	შეღებილი, შეფერადებული
painter	მხატვარი, ფერმწერი
painting	ფერწერა, მხატვრობა
pair	წყვილი
pal	ამხანაგი
palace	სასახლე
palatable	გემრიელი
palate	სასა
pale	ფერმიხდილი, ფერმკრთალი, გაფითრებული
palliate	დროებით შემსუბუქება ტკივილის
pallor	ფერმკრთალობა
palm	ხელის გული; პალმა
palpable	შესახებადი
palpitate	ცემა, ძგერა
palsy	დამბლა
paltry	უმნიშვნელო
pamper	განიბევრება, განაზება
pamphlet	ბროშურა, პამფლეტი
pan	ტაფა
pancake	ბლინი
pane	ფანჯრის მინა
panel	პანელი; შეციფრვა
pang	მწვავე ტკივილი
panic	პანიკა; პანიკური
pansy	იასამფერა (ბოტ.)
pant	სულის შეხუთვა
pantry	საკუჭნაო
pants	შარვალი; პერანგის ამხანაგი
paper	ქაღალდი; გაზეთი; შპალერის ქაღალდი
paper-hanger	გამკვრელი (შპალერისა)
paper-mill	ქაღალდის ფაბრიკა
paper-weight	პრესპაპიე, საშრობი
par	თანასწორობა, ნომინალური ფასი
parachute	პარაშუტი
parade	პარადი, აღლუმი
paradise	სამოღხე
paragraph	თავი, აბზაცი
parallel	პარალელი, შედარება; პარალელური
paralyse	პარალიზება, დამბლის დაცემა
paralysis	დამბლა
paramount	უმაღლესი, უდიდესი
parasite	პარაზიტი
parasitic	პარაზიტული
parasol	მზის ქოლგა
parcel	ფუთა, ამანათი
parch	გატრუსვა, გარუჯვა; გაშრობა
parchment	პერგამენტი
pardon	პატიება, ბოდიშის მოხდა
pardonable	საპატიებელი, ბოდიშის მოხდა
parent	მშობელი
parenthesis	ჩართული სიტყვა ან წინადადება; ფრჩხილები
Paris	პარიზი
parish	მრევლი; ოლქი
Parisian	პარიზელი
parity	თანასწორობა, ტოლობა; პარიტეტი
park	პარკი, ბაღი
parley	მოლაპარაკება
parliament	პარლამენტი
parlour	სასტუმრო, სადარბაზო ოთახი
parole	პატიოსანი სიტყვა, დაპირება; პაროლი
parr	ორაგული
parrot	თუთიყუში
parry	მოგერიება
parsimony	დამზოგველობა; მომჭირნეობა, სიძუნწე
parsley	ოხრახუში
parsnip	ძირთეთრა კამა
part	ნაწილოი, წილი; როლი; დაყოფა, დანაწილება
partake	მონაწილეობის მიღება
partial	ნაწილობრივი, ცალმხრივი
participant	მონაწილე
participate	მონაწილეობის მიღება
participle	მიმღეობა (გრამ.)
particle	წილადი, ნაწილაკი
particular	განსაკუთრებული, თავისებური
particularly	განსაკუთრებით, კერძოდ
parting	განშორება; გამგზავრება
partisan	მომხრე; პარტიზანი
partition	დაყოფა, დანაწილება
partly	ნაწილობრივ
partner	თანამონაწილე, პარტნიორი
partridge	კაკაბი
arty	პარტია; ჯგუფი; საღამოს წვეულება
pass	გასავალი; საშვი; ჩავლა, გავლა; ჩაბარება
passage	გასავალი; ნაწყვეტი წიგნიდან
passenger	მგზავრი
passerby	გამვლელი
passing	გარდამავალი, წარმავალი
passion	გატაცება, ვნება
passive	ვნებითი გვარი
password	პაროლი, საშვი
past	წარსული, გასული; ნამყო დრო (გრამ.)
paste	წებო; ცომი; წებვა, დაწებება
pasteboard	მუყაო, კარტონი
pastime	დროს ტარება
pasture	საძოვარი, საბალახე
pasty	ხაჭაპური, ღვეზელი
pat	ხელის დაკვრა; მოფერება
patch	საკერებელი ნაჭერი
patent	პატენტი; აშკარა
paternal	მამისეული; მამობრივი
path	საცალფეხო გზა, ბილიკი
patience	მოთმინება
patient	მომთმენი; პაციენტი, კლიენტი
patriot	პატრიოტი
patriotic	პატრიოტული, სამამულო
patriotism	პატრიოტიზმი
patrol	მზვერავი, მზირი
patron	მფარველი, პატრონი
patronage	მფარველობა, პატრონობა; შეფობა
patronize	მფარველობა, პატრონობა
pattern	ნიმუში, მოდელი
pauper	ღარიბი
pause	პაუზა; შესვენება
pave	მოკირწყლვა; ქვაფენილის დაგება
pavement	ქვაფენილი
paw	თათი
pawn	დაგირავება
pawnbroker	მევახშე
pawnshop	ლომბარდი
pay	(paid paid)   ფულის ვალის გადახდა
payable	გადასახდელი
payment	გადახდა
payroll	ხელფასის უწყისი
pea	მუხუდო, ცერცვი
peace	მშვიდობა; მშვიდობიანობა
peaceful	მშვიდობიანი
peacemaker	შემრიგებელი, დამზავებელი
peach	ატამი
peacock	ფარშავანგი
peak	მწვერვალი, პიკი
peal	ზარების რეკვა, განგაში
pear	მსხალი
pearl	მარგალიტი
peasant	გლეხი
peasantry	გლეხობა
peat	ტორფი
pebble	კენჭი
peck	კენკვა
peculiar	განსაკუთრებული, თავისებური, უცნაური
peculiarity	თავისებურება, უცნაურობა
pedagogic(al)	პედაგოგიური, პედაგოგიკური
pedagogy	პედაგოგიკა
pedestrian	ქვეითი
pedigree	საგვარტომო ნუსხა, გენეალოგია
pedlar	მეწვრილმანე
peel	თხელი, გარსი; გარჩევა, გაფრცქვნა
peep	შეჭვრეტა, ჩახედვა
peep-hole	საჭვრეტი
peer	პერი, ლორდი; ჩაცქერება, ჩაშტერება; გამოჩენა მზის
peevish	ფიცხი, ჭირვეული, ანჩხლი
peg	საკიდი
pelt	ტყავი
pen	კალამი, საწერკალამი
penal	სისხლის სამართლის
penalty	სასჯელი, ჯარიმა
pencil	ფანქარი
pencil-box	საკალმე
pending	გადაწყვეტილების მოლოდინში
pendulum	ქანქარა
penetrate	შეტანება, შეღწევა, გაძვრომა
pen-holder	კალმისტარი
peninsula	ნახევარკულძული
penitence	მონანიება
penitentiary	გამასწორებელი სახლი
penknife	ჯიბის დანა, ჯაყვა
pen-name	ლიტერატურული ფსევდონიმი
penniless	უფულო, ქესატი
penny	პენი (ფული0
pension	პენსია
pensive	ჩაფიქრებული, დაფიქრებული
peon	მოჯამაგირე
people	ხალხი, ერი, დასახლება
pep	მხნეობა, ენერგია
pepper	პილპილი
peppery	პილპილიანი, მწარე
per	გავლით, საშუალებით; გზით
perambulator	საბავშვო ეტლი
perceive	შემჩნევა, შენიშვნა; მიხვედრა, გაგება
percent	პროცენტი
percentage	პროცენტული შეფარდება
perceptible	შესამჩნევი, საგრძნობი
perception	აღება; გაგება
perch	ქანდარა; დაჯდომა, ჩამოჯდობა
perchance	შემთხვევით, შესაძლებელია
perfect	სრული, სრულყოფილი
perfection	სრულყოფა
perfectly	სავსებით, სრულებით
perfidious	მუხთალი, ვერაგი
perforce	აუცილებლობის გამო, ძალაუნებურად
perform	შესრულება, წარმოდგენა
performance	შესრულება, წარმოდგენა
perfume	სუნამო, სურნელება
perhaps	შესაძლებელია
peril	საშიშროება, საფრთხე
perilous	საშიში, სახიფათო
period	ხანა, პერიოდი; წერტილი
periodical	პერიოდული; პერიოდული გამოცემა
perish	დაღუპვა
perjury	ცრუმორწმეობა; ვერაგობა
permanent	მუდმივი, პერმანენტული
permeate	შეღწევა; შეჟონვა; გავრცელება
permission	ნებართვა
permit	ნებართვა; საშვი; ნებართვის მიცემა
perpetual	სამარადისო, შეუწყვეტელი
perpetuate	უკვდავყოფა
perplex	ჩიხში მომწყვდევა
persecute	დევნა, შევიწროება
persist	ჯიუტობა, ჟინიანობა
persistance	ჯიუტობა, ჟინიანობა
person	პირი, პიროვნება
personal	პირადი, პიროვნული, პირთა
personally	პირადად
personify	განსახიერება
personnel	პერსონალი, პირადი შემადგენლობა
perspective	პერსპექტივა
perspiration	ოფლი
perspire	ოფლის დენა
persuade	დაჯერება, დარწმუნება
pert	უტიფარი, თავხედი
pertain	კუთვნება
pertinent	შესაფერი, საკადრისი
perturb	აღელვება, შეკრთომა
perverse	დამახინჯებული, შერყვნილი
pest	ჟამი, ჭირი
pet	საყვარელი, გამორჩეული
petal	ფურცელი ყვავილის
petition	თხოვნა, პეტიცია; შუამდგომლობის აღძვრა
petrel	ქარიშხალა (ფრინველი)
petrol	ბენზინი
petroleum	ნავთი
petty	წვრილი
phantom	აჩრდილი, მოჩვენება
pharisee	ფარისეველი
pharmacy	აფთიაქი
phase	ფაზა, პერიოდი
pheasant	ხოხობი
phenomenon	ფენომენი, მოვლენა
philological	ფილოლოგიური
philology	ფილოლოგია
philosopher	ფილოსოფოსი
philosophical	ფილოსოფიური
phone	ტელეფონით დალაპარაკება
phonetics	ფონეტიკა
photograph	ფოტოგრაფია; სურათის გადაღება
phrase	ფრაზა
physic	მედიცინა; წამალი
physician	ექიმი
physique	აგებულება
piano	პიანინო, როიალი
pick	წერაქვი, არჩევა, ჩიჩქნა; მოწყვეტა; ხილის, ყვავილების მოწყვეტა
pickpocket	ჯიბგირი
pictorial	ილუსტრირებული
picture	სურათი
picturesque	მხატვრული
pie	ხაჭაპური
piece	ნაჭერი; ცალი; პიესა, ლიტერატურული ნაწარმოები
piece-work	სანარდო სამუშაო
pierce	გახვრეტა, გაგმირვა
pig	ღორი
pigeon	მტრედი
piggery	საღორე
pigtail	ნაწნავი
pike	ქარიყლაპია; შუბი
pile	გროვა; მოგროვება, შეჩუქება
pilfer	ქურდობა, პარვა
pill	აბი
pillage	ძარცვა, ტაცება
pillar	ბიძი; სვეტი
pillow	ბალიში
pillow-case	ბალიშის პირი
pilot	პილოტი, მფრინავი
pin	ქინძისთავი; მიბნევა, მიმაგრება
pinafore	წინსაფარი
pinch	ჩქმეტა
pine	ფიჭვი; ჭკნობა; გულის შეწუხება
pink	ვარდისფერი; მიხაკი
pioneer	გზის გაკაფვა
pipe	მილი; ყალიონი; ჩიბუხი; სალამური, სასტვენი
pipe-line	მილსადენი
pit	ორმო; მაღარო; პარტერის უკანასკნელი რიგი
pitch	ფისი, კუბრი
pitcher	დოქი
piteous	საცოდავი, საბრალო
pitiful	საცოდავი, საბრალო; გულჩვილი
pitiless	უმოწყალო, შეუბრალებელი
pity	სიბრალულ; შეცოდებაი
placard	პლაკატი, აფიშა
place	ადგილი, მოედანი; მოთავსება, დადება
placid	მშვიდი, აუღელვებელი
plague	ჟამი, ჭირი
plain	ველი; მარტივი, უბრალო, გასაგები
plaintiff	მოსარჩლე
plait	ნაწნავი
plan	გეგმა; დაგეგმვა
plane	თვითმფრინავი; სიბრტყე
plank	ფიცარი
plant	ქარხანა, ფაბრიკა; მცენარე; დარგვა, მოშენება მცენარის
planter	პლანტატორი
plash	შხაპუნი; შეშხაპუნება
plate	თეფში; ფირფიტა
platform	პლატფორმა, ბაქანი, პერონი
platitude	უხამსობა, უშვერობა
plausible	დასაჯერი, მოსალოდნელი
play	პიესა; თამაში, წარმოდგენა; გართობა
player	მოთამაშე; მსახიობი
playground	სათამაშო მოედანი
plaything	სათამაშო
playwright	დრამატურგი
plead	(pleaded, pled)   დაცვა (სასამართლოში; ბრალდებაზე პასუხის გაცემა)
pleasant	სასიამოვნო
please	მოწონება; სიამოვნების მოგვრა
pleased	ნასიამოვნები, მხიარული
pleasure	სიამოვნება
pledge	გირაო; პირობა, ვალდებულება, აღთქმა, ფიცი
plenary	საერთო, პლენარული
plenipotentiary	სრულუფლებიანი წარმომადგენელი, რწმუნებული
plenty	სიუხვე, დოვლათი
pliable	ღუნვადი, მოქნილი
plot	შეთქმულება; მიწის ნაკვეთი; სიუჟეტი, შინაარსი; განზრახვა, დაპირება
plough	გუთანი; ხვნა
ploughman	მხვნელი, გუთნის დედა
pluck	მამაცობა, გამბედაობა; მოწყვეტა, მოკრეფა
plug	საცობი; შტეფსელი
plum	ქლიავი
plumber	წყალსადენის ოსტატი
plump	მსუქანი, სქელი; კატეგორიული, გადამწყვეტი
plunder	ძარცვა, გლეჯვა
plunge	ჩაძირვა,ჩაყვინთვა
plural	მრავლობითი რიცხვი
plus	მიმატება
p.m.=post	meridiem      შუადღის შემდეგ
pneumonia	ფილტვების ანთება
pocket	ჯიბე; მითვისება
poem	ლექსი; პოემა
poet	პოეტი
poetess	პოეტი ქალი
poetry	ლექსი, პოეზია
poignant	ბასრი, მახვილი
point	წერტილი, პუნქტი; სიმახვილე, სიმკვეთრე; ჩვენება, აღნიშვნა
pointed	ბასრი, მახვილი
poise	წონასწორობა
poison	საწამლავი, სხამი; მოწამვლა
poke	ბიძგვა
Poland	პოლონეთი
polar	პოლარული
Pole	პოლონელი
pole	პოლუსი; ბოძი, სარი, პალო
police	პოლიცია
policy	პოლიტიკა; სადაზღვევო პოლისი
Polish	პოლონური; პოლონური ენა
polish	კრიალი, პრიალი; გაკრიალება, გაპრიალება
polite	ზრდილი, თავაზიანი
politeness	ზრდილობა, თავაზიანობა
political	პოლიტიკური
politician	პოლიტიკოსი
politics	პოლიტიკა
polling	place     საარჩევნო უბანი
pomegranate	ბროწეული
pond	ტბორი, გუბურა
ponder	მოფიქრება, მოსაზრება
pool	გუბე, წუმბე
poor	ღარიბი; საწყალი, უბედური; ცუდი
poppy	ყაყაჩო
populace	მოსახლეობა
popular	ხალხური; სახალხო; პოპულარული
populate	დასახლება, ჩასახლება
population	მოსახლეობა
populous	მჭიდროდ დასახლებული, ხალხმრავალი
porcelain	ფაიფური
porch	ტალანი, პორტიკი, აივანი
pork	ღორის ხორცი
porridge	შვრიის ფაფა
port	ნავსადგური
porter	მეკარე; მებარგული
portfolio	პორტფელი
portion	ნაწილი, ხვედრი; დანაწილება
portrait	პორტრეტი, სურათი
Portugal	პორტუგალია
Portuguese	პორტუგალიის; პორტუგალიელი
pose	დაყენება, საკითხის დასმა
position	მდგომარეობა, პოზიცია
positive	დადებითი, გარკვეული; სარწმუნო, უეჭველი; დადებითი ხარისხი
possess	ფლობა-ქონა
possession	საკუთრება, სამფლობელო
possessive	case   ნატესაობითი ბრუნვა
possessor	მესაკუთრე, მფლობელი
possible	შესაძლებელი
post	ფოსტა; ბოძი; სადარაჯო; ფოსტით გაგზავნა
postage	საპოსტო ხარჯები
postal	საფოსტო
post-card	საფოსტო ღია ბარათები
poster	პლაკატი, აფიშა
posterity	შთამომავლობა
posthumous	სიკვდილისშემდგომი
postman	ფოსტალიონი
post-office	საფოსტო განყოფილება
postpone	გადადება
posture	პოზა, მდგომარეობა
pot	ქოთანი, ქვაბი
potato	კარტოფილი
potent	ძლიერი, შემძლებელი
poultry	შინაური ფრინველი
pounce	ნახტომი; შევარდნა, დაცემა
pound	გირვანქვა; ნაყვა, ხვნა
pour	სხმა, ღვრა, დასხმა
poverty	სიღარიბე
powder	ფხვნილი; თოფის წამალი; პუდრი; დაპუდვრა; მარილის მოყრა
power	ძალა, ძალაუფლება; ენერგია, სახელმწიფო
practical	პრაქტიკული, ფაქტიური
practice	პრაქტიკა, ვარჯიშობა
practise	ვარჯიშობა
praise	ქება, შექება
pray	თხოვნა, ვედრება, ლოცვა
preach	ქადეგება
precarious	შემთხვევითი, არასაიმედო
precaution	სიფრთხილე
precede	წინსვლა, წინამავლობა
precedence	პირველობა
precedent	წინამავალი, ზემოხსენებული; პრეცენდენტი
preceding	წინა, წინამავალი
precept	წესი; დარიგება
precious	ძვირფასი
precipice	უფსკრული
precise	ზუსტი, პუნქტუალური
preclude	არიდება, აცილება
precursor	წინამორბედი
predecessor	წინამორბედი
predicate	შემასმენელი
predict	წინასწარმეტყველება
predominate	ბატონობა, მფარველობა
preface	წინასიტყვაობა
prefer	უპირატესობის მიცემა
preference	უპირატესობა
preferential	შეღავათიანი
prefix	პრეფიქსი, თავსართი
pregnant	ფეხმძიმე
prejudice	ცრურწმენა, ცუდი აზრი
preliminary	წინასწარი
premature	უდროო, ნაადრევი
premise	წინაპირობა
preoccupy	ყურადღების მიპყრობა
preparation	მზადება
preparatory	მოსამზადებელი, წინასწარი
prepare	მზადება, მომზადება
preponderance	უპირატესობა
preposition	წინდებული
prescribe	წერილობითი ბრძანების გაცემა; წამლის გამოწერა
presence	დასწრება
present	დამსწრე; აწმყო დრო; საჩუქარი
presently	ახლავე; მალე
preserve	მურაბა; შენახვა
preside	თავმჯდომარეობა
president	პრეზიდენტი, თავმჯდომარე
presidium	პრეზიდიუმი
press	პრესი; წნეხი; გაწურვა, დაწოლა
pressing	გადაუდებელი, სასწრაფო
pressure	წნევა, შევიწროება, ტანჯვა
presume	ვარაუდი, ჰგონია
presumption	ვარაუდი; თავდაჯერებულობა
pretence	პრეტენზია; მოთხოვნილება; საბაბი; თვალმაქცობა
pretend	თავის მოჩვენება, თავის მოკატუნება
pretext	მიზეზი, საბაბი
pretty	ლამაზი, კარგი; საკმაოდ, სავსებით
prevail	ჯობნა, დაძლევა
prevalent	გაბატონებული, გავრცელებული
prevent	ხელის შეშლა; აცილება
previous	წინა
prey	ნადავლი; მსხვერპლი; ძარცვა; წვალება
price	ფასი, ღირებულება
prick	ჩხვლეტა
pride	სიამაყე
priest	მღვდელი
primary	პირველდაწყებითი;პირმთავარიველხარისხოვანი
prime	მთავარი, ძირითადი; აყვავებაPrime Minister პრემიერ მინისტრი
primer	ანბანი (წიგნი)
primrose	ფურისულა (ბოტ.)
principal	მთავარი, ძირითადი; სკოლის დირექტორი
principle	პრინციპი; საფუძველი
print	შრიფტი; ბეჭდვა
printer	ასოთამწყობი, მბეჭდავი
prison	საპატიმრო, სატუსაღე
prisoner	ტუსაღი, ტყვე
private	კერძო; პირადი; უბრალო ჯარისკაცი, მორიგე
privation	გაჭრვება
privilege	უპირატესობა, პრივილეგია
privy	საიდუმლო
prize	ჯილდო, პრემია; დაფასება
probable	მოსალოდნელი
probably	ალბათ
probation	გამოცდა
proceed	განგრძობა, გაგრძელება; დაწყება
proceedings	შრომები, ოქმი
proceeds	შემოსავალი
process	პროცესი
procession	პროცესია
proclaim	გამოცხადება
procure	შოვნა
produce	პროდუქცია, ნაწარმი; წარმოება, გამოშავება
product	პროდუქტი, ნაწარმი, ნაყოფი
production	წარმოება
productivity	ნაყოფიერება
profess	აღიარება
professedly	აშკარად, ცხადად
profession	პროფესია
professional	პროფესიული
profit	სარგებლობა, სარფი, მოგება; მოგების მიღება
profitable	სასარგებლო, საფრიანი
profiteer	სპეკულანტი
profound	ღრმა, ბრძული, შორსმჭვრეტელი
profuse	უხვი
programme	პროგრამა
progress	პროგრესი, წინსვლა, წარმატება
prohibit	აკრძალვა, დაშლა
project	პროექტი; განზრახვა; პროექტის, გეგმის შედგენა
prolong	გაგრძელება, გახანგრძლივება
prominent	გამოჩენილი, ცნობილი
promise	დაპირება
promote	დაწინაურება, წინ წაწევა (სამსახურში)
promotion	დაწინაურება
prompt	სწრაფი, ჩქარი; ჩაჩურჩულება, კარნახი
prompter	მოკარნახე
promulgate	გამოქვეყნება, საჯაროდ გამოცხადება
pronoun	ნაცვალსახელი
pronounce	გამოთქმა
pronunciation	გამოთქმა
proof	საბუთი; კორექტურა; შეუღწევადი
prop	საყრდენი; საყრდენის შედგმა
propaganda	პროპაგანდა
propagandist	პროპაგანდისტი
propagate	გამრავლება; გავრცელება
proper	საკუთარი; წესიერ; სათანადო, ჯეროვანი
properly	როგორც საჭიროა
property	საკუთრება; თვისება
prophecy	წინასწარმეტყველება
prophesy	წინასწარმეტყველება
proportion	პროპორცია, ტოლფარდობა
proposal	წინადადება
propose	წინადადების მიცემა
proprietor	მესაკუთრე, პატრონი
propriety	შესაფერისი, მართებულობა
proscribe	კანონს გარეშე გამოცხადება; აკრძალვა
prose	პროზა
prosecute	შევიწროება; გაგრძელება საქმიანობის
prosecutor	ბრალმდებელი Public prosecutor სახალხო ბრალმდებელი
prospect	ხედი; პერსპექტივა
prosper	აყვავება; წარმატების ქონა
prosperity	აყვავება; კეთილდღეობა
protect	დაცვა; მფარველობა
protection	დაცვა; მფარველობა
protector	დამცველი; მფარველი
protest	პროტესტის განცხადება
protrude	გამოშვერა
proud	ამაყი
proudly	ამაყად
prove	მტკიცება; დამტკიცება
proverb	ანდაზა
provide	მომარაგება; ზომების გაკეთება; გათვალისწინება
provided	იმ პირობით რომ
province	პროვინცია, ოლქი; მოქმედების სფერო
provincial	პროვინციალური
provision	მარაგი; უზრუნველყოფა
provisional	დროებითი
provocation	პროვოკაცია; გამოწვევა
provocative	გამომწვევი
provoke	გამოწვევა
prowl	მიპარვა
proximate	უახლესი, უშუალო, მომდევნო
proximity	სიახლოვე, ახლობლობა
prudent	ფრთხილი, მირიდებული, წინდახედული
prune	შავქლიავი
pry	შეჭვრეტა, მითვალთვალება
psychology	ფსიქოლოგია
public	სახალხო, საზოგადოებრივი; ხალხი, საზოგადოება
publication	გამოცემა; გამოქვეყნება
publicity	საჯაროობა, რეკლამა
publish	გამოცემა, გამოქვეყნება
pull	გათრევა, მოწევა; ამოღება ბილის
pulsate	ცემა, ფეთქვა (მაჯისა, გულისა)
pulse	პულსი, მაჯისცემა
pulverize	გამტვერება, ფხვნილად ქცევა
pump	ტუმბო; ტუმბოთი ამოქაჩვა, ამოტუმბვა
pumpkin	გოგრა, კვახი
punch	მუშტი-კრივის გამართვა; შტამპვა
punctual	ზუსტი, პუნქტუალური
punctuate	სასვენი ნიშნების დასმა
puncture	ნაჩხვლეტი; გაჩხვლეტა, გახვრეტა
punish	დასჯა
punishment	სასჯელი
pupil	მოსწავლე, მოწაფე
puppet	ტიკინა, თოჯინა
puppy	ლეკვი
purchase	ყიდვა, შესყიდვა
pure	სუფთა
purge	გაწმენდა, გასუფთავება
purity	სისუფთავე
purple	მეწამული ფერი
purpose	მიზანი; განზრახვა
purse	საფულე
pursuance	შესრულება; დევნა
pursue	დევნა; დადევნება
pursuit	დევნა; დადევნება; გამოდგომა
push	ბიძგება, ხელის კვრა
put	დადება, დაწყობა; დადგმა
putty	საგოზავი მინის
puzzle	შეფიქრიანება, შეშფოთება
pygmy	ქონდრის კაცი, ჯუჯა
quack	ექიმბაში; შარლატანი, მატყუარა; ყიყინი (იხვის)
quadruped	ოთხფეხა, ოთხფეხი ცხოველი
quadruple	ოთხჯერი, ოთხმაგი; გაოთხმაგება, გაოთხკეცება
quagmire	ჭაობი
quail	მწყერი; შეკრთომა, შეშინება
quaint	უცნაური
quake	მიწისძვრა; რხევა, კანკალი
qualification	კვალიფიკაცია; შეზღუდვა
qualify	შეზღუდვა, კვალიფიკაციის მინიჭება
qualitative	თვისებითი, ხარისხი, ხარისხობრივი
quality	თვისება, ხარისხი, თვისება
qualm	გულის რევა
quandary	დაბრკოლება, სიძნელე
quantitative	რაოდენობითი, ოდენობითი
quantity	რაოდენობა, ოდენობა
quarrel	ჩხუბი; წაჩხუბება
quarry	ქვის სამტეხლო
quarter	მეოთხედი; კვარტალი; დაბინავება
quarterly	ჟურნალი, რომელიც 3 თვეში ერთხელ გამოდის
quaver	კანკალი, ცახცახი;ჟრუანტელი; რაკრაკი
quay	სანაპირო
queen	დედოფალი
queer	უცნაური
quell	ჩახშობა
quench	ჩაქრობა; წყურვილის მოკვლა
querulous	ჭირვეული, ანჩხლი
query	კითხვა; გამოკითხვა; ეჭვქვეშ დაყენება
quest	ძებნა
question	საკითხი; კითხვა; პრობლემა
questionable	საეჭვო
questionnaire	კითხვარი, ანკეტა
queue	რიგი; ჯერი; ნაწნავი
quibble	სიტყვათა თამაში, კალამბური
quick	სწრაფი, ჩქარი; სწრაფად, ჩქარა
quicken	აჩქარება, დაჩქარება
quickly	სწრაფად, ჩქარა
quickminded	მოფიქრებული, მოსაზრებული
quicksilver	ვერცხლის წყალი
quiet	წყნარი, მშვიდი; დამშვიდება
quietly	წყნარად, მშვიდად
quill	ბუმბული
quilt	საბანი
quince	კომში
quinine	ქინაქინა
quit	ქვით, ბარიბარში; დატოვება, მიტოვება
quite	სავსებით, სრულებით, ძალიან
quiver	თრთოლა, კანკალი
quotation	ციტატი, მოყვანილი ადგილი თხზულებიდან
quotation-marks	ბრჭალები (გრამ.)
quote	ციტატის მოყვანა
rabbit	შინაური კურდღელი
rabble	ბრბო
race	რასა, მოდგმა; დოღი; შეჯიბრი
racial	რასიული
rack	საკიდარი
racket	ხმაურობა; გამოძალვა
racketeer	გამომძალველი, ბანდიტი
racoon	ენოტი
racy	პიკანტური, სპეციფიკური, დამახასიატებელი
radiance	ბრწყინვალე, ციალი
radiant	მბრწყინვალი, მოციალე, მოკაშკაშე
radiate	ბრწყინვა, კაშკაში, ციალი
radical	ძირითადი; რადიკალური
radio	რადიო
radioman	რადისტი
radish	ბოლოკი
radium	რადიუმი
raft	ტივი; ბორანი
rag	ჩვარი
rage	ბრაზი, გულისმოსვლა; გააფრთება, გაშმაგება
ragged	დაფლეთილი, კონკებში გახვეული
raid	თავდასხმა, დაცემა
rail	რელსი; მოაჯირი; ლანძღვა, გინება; რკინიგზით მგავრობა
railroad	რკინიგზა
railway	რკინიგზის სადგური
rain	წვიმა
rainbow	ცისარტყელა
rainy	წვიმიანი
raise	ადგომა, გამოღვიძება; შექმნა არმიის, ფლოტის
raisin	ქიშმიში
rake	ფოცხი
rally	შეკრება
ram	ვერძი, ყოჩი
ramble	ხეტიალი, ყიალი
ramification	განშტოება, განტოტება
rampant	დაუჭერელი, შეუკავებელი
rampart	სანგარი
ramshackle	ძველი, დაძველებული
rancour	ღვარძლი, ავგულობა
random	ალალბედზე
range	ზღვარი; რიგი
rank	ხარისხი, წოდება; რიგი, მწკრივი
ransack	ძარცვა; გაცღ
ransom	გამოსყიდვა; დახსნა
rapacious	ხარბი, გაუმაძღარი
rape	გაუპატიურება; მოტაცება
rapid	სწრაფი, ჩქარი
rapt	აღტაცებული, მოხიბლული
rapture	აღტაცება
rare	იშვიათი
rarity	იშვიათობა
rascal	არამზადა
rash	განუსჯელი, მოუფიქრებელი
rasp	საფხეკელა; ქლიბი; ფხეკა
raspberry	ჟოლო
rat	ვირთხა
rate	ტემპი; ფასი; ნორმა; შეფასება; ლანძღვა
rather	ცოტათი, ოდნავ
ratify	დამტკიცება, დადასტურება
ratio	პროპორცია, ტოლფარდობა
ration	ულუფა
rational	გონიერი, რაციონალური
rationalize	რაციონალიზება
rattle	გრგვინვა, ჭექა
rattlesnake	ჩხრიალა გველი
raucous	ხრინწიანი
rave	ბოდვა; გაბრაზება
ravel	დახლართვა, აწეწა
raven	ყორანი
ravenous	გაუმაძღარი, მსუნაგი
ravine	ხეობა, ხევი
ravish	მოხიბლვა, მოჯადოება
raw	ნედლი, დაუმუშავებელი
ray	სხივი
rayon	ხელოვნური აბრეშუმის ვისკოზი
rase	აღგვა; წაშლა
rasor	სამართებელი
reach	მიღწევა, მისვლა; გაშლა, გავრცობა
react	გამოხმაურება
reaction	რეაქვია
reactionary	რეაქციული, რეაქციონერი
read	(read, read)   კითხვა
